Network,Variable,Intercept,Std.Err.,t-value,p-value,Smooth F-value,Smooth p-value,Adj R-sqr,Expl.Deviance
600 km,EnvTrack_CCA_S18,0.26,0.02,17.42,0,0.93,0.34,0,0.02
600 km,Rich_S18,0,20.26,0,1,1.51,0.32,0.03,0.06
600 km,LCBD_S18,0,0,0,1,1.11,0.42,0.02,0.05
600 km,Repl_S18,0,0.01,0,1,0.15,0.7,-0.02,0
600 km,RicDif_S18,0,0.01,0,1,1.16,0.29,0,0.03
300 km,EnvTrack_CCA_S18,0.26,0.02,17.26,0,0.09,0.76,-0.02,0
300 km,Rich_S18,0,20.56,0,1,1.02,0.32,0,0.02
300 km,LCBD_S18,0,0,0,1,0.14,0.71,-0.02,0
300 km,Repl_S18,0,0.01,0,1,1.28,0.26,0.01,0.03
300 km,RicDif_S18,0,0.01,0,1,1.41,0.24,0.01,0.03
100 km,EnvTrack_CCA_S18,0.26,0.02,17.28,0,0.24,0.63,-0.02,0.01
100 km,Rich_S18,0,20.46,0,1,1.48,0.23,0.01,0.03
100 km,LCBD_S18,0,0,0,1,0.38,0.54,-0.01,0.01
100 km,Repl_S18,0,0.01,0,1,0.02,0.89,-0.02,0
100 km,RicDif_S18,0,0.01,0,1,0.19,0.67,-0.02,0
60 km,EnvTrack_CCA_S18,0.26,0.02,17.25,0,0.05,0.82,-0.02,0
60 km,Rich_S18,0,20.66,0,1,0.6,0.44,-0.01,0.01
60 km,LCBD_S18,0,0,0,1,3.49,0.07,0.05,0.07
60 km,Repl_S18,0,0.01,0,1,0.02,0.88,-0.02,0
60 km,RicDif_S18,0,0.01,0,1,0.23,0.63,-0.02,0.01
6 km,EnvTrack_CCA_S18,0.26,0.02,17.24,0,0.02,0.89,-0.02,0
6 km,Rich_S18,0,20.79,0,1,0,0.96,-0.02,0
6 km,LCBD_S18,0,0,0,1,2.04,0.16,0.02,0.04
6 km,Repl_S18,0,0.01,0,1,0.85,0.36,0,0.02
6 km,RicDif_S18,0,0.01,0,1,2.31,0.38,0.02,0.05
Fluvial,EnvTrack_CCA_S18,0.26,0.02,17.44,0,1.09,0.3,0,0.02
Fluvial,Rich_S18,0,20.78,0,1,0.06,0.81,-0.02,0
Fluvial,LCBD_S18,0,0,0,1,0.04,0.84,-0.02,0
Fluvial,Repl_S18,0,0.01,0,1,0,0.98,-0.02,0
Fluvial,RicDif_S18,0,0.01,0,1,0.36,0.55,-0.01,0.01
