"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"NMDS X";"8.55013044279165e-05";"8.93107862831063e-07";"95.7345780798368";"2.17411491192687e-57";"0.000603415285958117";"0.652191796182624";"5.94320572355755e-06";"2.46264297082022e-05"
"2";"325 km";"NMDS X";"0.000165706581265944";"1.48700317243868e-06";"111.436602380737";"1.31753932932061e-60";"0.000367348892800902";"0.797904167464742";"-1.05194488453364e-06";"1.49926359407378e-05"
"3";"100 km";"NMDS X";"0.00121361596443649";"2.64532541039644e-05";"45.8777570300743";"6.40305358534057e-42";"0.000512934047386027";"0.658065504520066";"3.17437249020003e-06";"2.09333314781961e-05"
"4";"65 km";"NMDS X";"0.758995260150837";"0.024716424129549";"30.7081338373475";"1.14980484413076e-33";"0.000117747846384587";"0.411155986422752";"2.1687437559148e-06";"4.80588052370336e-06"
"5";"6.5 km";"NMDS X";"0.762997423832631";"0.0223394843320981";"34.1546569513394";"7.87390185859557e-36";"4.66654022703165e-05";"0.635906995501121";"5.07576734753989e-07";"1.90469669286337e-06"
"6";"Fluvial";"NMDS X";"0.663780660123034";"0.0165187001272528";"40.1835892055404";"3.58278708158665e-39";"1.26815745639096e-05";"0.952176859242424";"-5.19055485259656e-07";"5.17613166155112e-07"
