"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"NMDS X";"8.53609841299743e-05";"7.14068770342754e-07";"119.541685164303";"1.93603646206289e-59";"24.4721431176492";"0.000240830735121267";"0.32425381827649";"0.385027016906959"
"2";"325 km";"NMDS X";"0.000166308773494132";"1.11113314599625e-06";"149.674927881859";"2.43074529547815e-63";"27.3730890992948";"0.000158772428755949";"0.349266396126736";"0.414765390752632"
"3";"100 km";"NMDS X";"0.00122764522632609";"2.07407151742966e-05";"59.1901106596108";"2.48989106169572e-45";"18.9058436435745";"0.00165895612530031";"0.270447226457593";"0.336812890002073"
"4";"65 km";"NMDS X";"0.774799889206859";"0.0223818831369545";"34.6172788261769";"4.28840689684165e-37";"3.65947805003163e-05";"0.636296100294366";"3.79957600493697e-07";"1.43508422268805e-06"
"5";"6.5 km";"NMDS X";"0.777987525335128";"0.0202877405642581";"38.3476672954773";"2.14082219557093e-38";"2.21591560712111";"0.255153084556317";"0.0416398796254185";"0.0726449314324645"
"6";"Fluvial";"NMDS X";"0.663282145887562";"0.016476111118197";"40.2572027542956";"2.54351484538142e-40";"7.18003477985526e-05";"0.596828339782104";"8.97095091878519e-07";"2.81566877294659e-06"
