"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"NMDS X";"8.53066447906266e-05";"8.9368549399351e-07";"95.4548835848577";"1.14237243782815e-54";"2.6032876618124";"0.233254640273617";"0.0514270391037929";"0.0881301180613729"
"2";"325 km";"NMDS X";"0.000166777772431283";"1.38748753976145e-06";"120.201275796651";"4.80417794861763e-60";"2.48345621328076";"0.117576753285711";"0.0491842775297151";"0.0711395106348821"
"3";"100 km";"NMDS X";"0.00123663916537418";"2.42651452122868e-05";"50.9636004464541";"1.35478022066627e-42";"3.64387695459071";"0.0696223431351761";"0.0705523398492819";"0.0955628854541844"
"4";"65 km";"NMDS X";"0.773128266342587";"0.0213964442052628";"36.133492973212";"2.23075006464579e-36";"0.184857264261514";"0.343673027072279";"0.0038359343919685";"0.00734864795627721"
"5";"6.5 km";"NMDS X";"0.768983704529834";"0.0207540178848247";"37.0522810955133";"5.6846530022792e-37";"1.13085078759536e-05";"0.634948699334078";"-3.42186325941185e-08";"4.71185068747506e-07"
"6";"Fluvial";"NMDS X";"0.665229308107642";"0.0160831382590268";"41.3619094354473";"3.9524225691568e-38";"2.83486220186833";"0.183266189972631";"0.0557658149408984";"0.0920208874579182"
