"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"NMDS X";"8.53066447906266e-05";"8.0870305145727e-07";"105.485746142426";"1.07235944681576e-54";"13.7967368750018";"0.00612949427134191";"0.223253174100643";"0.285597655505753"
"2";"325 km";"NMDS X";"0.000166777772431283";"1.306228072409e-06";"127.678906887757";"4.48408648343195e-59";"8.9593574903201";"0.0215164148004916";"0.157293784257523";"0.212972322254398"
"3";"100 km";"NMDS X";"0.00123663916537417";"2.27409547494531e-05";"54.3793863977463";"9.88510375673483e-43";"10.7999210410062";"0.00753457395206814";"0.183649736656854";"0.23379470235493"
"4";"65 km";"NMDS X";"0.773128266342587";"0.0214376027652673";"36.0641194264124";"1.99089662230292e-36";"1.81909272387847e-06";"0.991690971153924";"-2.27623766058116e-07";"7.57954818797971e-08"
"5";"6.5 km";"NMDS X";"0.768983704529834";"0.0206035011787786";"37.3229626293749";"7.69377154055863e-37";"0.703917674348693";"0.268633423500522";"0.0144521944884517";"0.0251437099885046"
"6";"Fluvial";"NMDS X";"-1.71022444288396";"0.0313482718208873";"-54.555621204753";"4.20581487495456e-42";"14.5311228706234";"0.00498264620980615";"0.232382192877695";"0.295182980608599"
