"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"NMDS X";"8.54805451937169e-05";"8.02346443794477e-07";"106.538199121891";"1.77408895777086e-58";"8.81351566789764";"0.0241664782772748";"0.147344987405011";"0.200985130726527"
"2";"325 km";"NMDS X";"0.000165720456761174";"1.32871952773293e-06";"124.721924606562";"1.11030330839188e-62";"8.8360023708126";"0.0116491306904913";"0.147661688988911";"0.186148383536387"
"3";"100 km";"NMDS X";"0.00121715321446018";"2.1950733593936e-05";"55.4493183223919";"4.68567289043215e-44";"18.8896873010205";"0.0017211424258069";"0.270278598405128";"0.33621436662341"
"4";"65 km";"NMDS X";"0.758546629627377";"0.0193103409585055";"39.2818869049158";"8.70542399611983e-37";"24.5672962100715";"0.000603353603918944";"0.325104855768288";"0.397098725602689"
"5";"6.5 km";"NMDS X";"0.763942972890853";"0.0191104687395481";"39.975103871205";"6.93253355381857e-38";"14.4838922706314";"0.00577044292870221";"0.221182282248331";"0.283802711306822"
"6";"Fluvial";"NMDS X";"-1.72034378694579";"0.0314527730766561";"-54.6960925433505";"9.95622359625931e-45";"9.21175641482591";"0.020820421760489";"0.15298929061782";"0.206982947965812"
