"";"Taxon_Group";"Mean_LCBD";"Mean_Repl";"Mean_RicDif";"Mean_Rich";"sd_LCBD";"sd_Repl";"sd_RicDif";"sd_Rich"
"1";"16S_Bacterioplankton";0,0192307692307692;0,47725445369471;0,155296240487898;717,692307692308;0,00174028360204481;0,0428670280114146;0,0480584119057375;145,775887414321
"2";"18S_Protista";0,0204081632653061;0,105853737602005;0,100546910638581;71,7142857142857;0,0119329723604427;0,050316676373653;0,0300002002589126;7,18215380880508
"3";"Phytoplankton";0,02;0,521101860547023;0,359349530097548;9,66;0,00164384521630926;0,102525922240592;0,111430877862125;5,47577224075774
"4";"Zooplankton";0,0192307692307692;0,371510269809086;0,225462774815585;5,90384615384615;0,0059506228100518;0,103193415238705;0,10984414635184;1,75185744993332
"5";"18S_Zooplankton";0,0204081632653061;0,226148481493682;0,252343577258798;17,1224489795918;0,0071078357939133;0,0776671451915514;0,078899531711589;5,0729374013042
