"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"Rich_S16";"2.46291131050254e-14";"18.78416279634";"1.31116373788158e-15";"0.999999999999999";"2.98809129927817";"0.0900984431221745";"0.0375604626159727";"0.0564455147765257"
"2";"650 km";"LCBD_S16";"-1.99210837480448e-19";"0.000224906544711738";"-8.85749401982838e-16";"0.999999999999999";"0.271371453811726";"0.604745674261999";"-0.0144928291949213";"0.00540086053865625"
"3";"650 km";"Repl_S16";"3.23258308773936e-18";"0.00544192467188733";"5.94014669927111e-16";"1";"1.48375491886344";"0.228930052947315";"0.00939482739318342";"0.0288195457902745"
"4";"650 km";"RicDif_S16";"-5.11101958254842e-19";"0.00587612531579511";"-8.69794176923001e-17";"1";"2.59084425924853";"0.113790112521786";"0.0302510652817889";"0.049267223621106"
"5";"325 km";"Rich_S16";"1.31417310147844e-14";"17.59118420186";"7.47063464516211e-16";"0.999999999999999";"9.67728095399951";"0.00948867722326202";"0.155927169426664";"0.187234333634487"
"6";"325 km";"LCBD_S16";"-1.15258261554942e-19";"0.000219204018413225";"-5.25803597896034e-16";"1";"1.85367898325668";"0.221218261334951";"0.0363000924489674";"0.0626485627306237"
"7";"325 km";"Repl_S16";"-1.56373631444821e-19";"0.0052737343120806";"-2.96514049042278e-17";"1";"4.52900020277996";"0.104204005227716";"0.0696806960978209";"0.102987129559551"
"8";"325 km";"RicDif_S16";"1.60710385734884e-18";"0.00593460765705286";"2.70802039531445e-16";"1";"1.82911647009702";"0.465037733548442";"0.0108520888956036";"0.038639597828586"
"9";"100 km";"Rich_S16";"2.52906535230382e-14";"17.0704360411917";"1.48154701274243e-15";"0.999999999999999";"13.4660882726241";"0.00210517576122665";"0.205161311341684";"0.235084597258266"
"10";"100 km";"LCBD_S16";"-8.84388531658192e-20";"0.000216233926957049";"-4.08996194123534e-16";"1";"3.96385711415808";"0.054795763543213";"0.0622383554386213";"0.0822470409126253"
"11";"100 km";"Repl_S16";"-2.4290352603535e-18";"0.0052422898445474";"-4.63353864891691e-16";"1";"5.02637720266515";"0.0778469749142915";"0.080741618858615";"0.113838276122337"
"12";"100 km";"RicDif_S16";"3.96432868725664e-18";"0.00586470516025827";"6.7596385136641e-16";"0.999999999999999";"3.15254023476966";"0.273498026747178";"0.0340167854924059";"0.0654686255075394"
"13";"65 km";"Rich_S16";"2.09386966521277e-14";"18.8811504701692";"1.10897355991147e-15";"0.999999999999999";"2.44728141250799";"0.124048336887526";"0.0275961373488343";"0.0466643303450935"
"14";"65 km";"LCBD_S16";"-1.61011622522481e-19";"0.000223622341444467";"-7.20015815425428e-16";"0.999999999999999";"0.804964968917741";"0.680146364947997";"-0.00294051524470462";"0.0250208390696044"
"15";"65 km";"Repl_S16";"1.80464187717078e-19";"0.00548404093027887";"3.29071555102164e-17";"1";"0.69605747705391";"0.408154609119024";"-0.00599753040263495";"0.013729549028455"
"16";"65 km";"RicDif_S16";"1.60989687330457e-18";"0.00590282339532939";"2.72733362576695e-16";"1";"2.54150651549599";"0.348819171690429";"0.0214189695807748";"0.0489851130318701"
"17";"6.5 km";"Rich_S16";"1.18242567631358e-14";"18.605977675653";"6.35508489221105e-16";"1";"4.01007592934322";"0.0506686176119631";"0.0557331142378528";"0.0742486604540071"
"18";"6.5 km";"LCBD_S16";"-1.81445166562566e-19";"0.000218195694333929";"-8.31570792982196e-16";"0.999999999999999";"3.16933390822044";"0.199853172837603";"0.0451456136283301";"0.078333896076129"
"19";"6.5 km";"Repl_S16";"1.27800544953019e-18";"0.00537709622947493";"2.37675763086537e-16";"1";"2.73267173035686";"0.104597820310019";"0.0328559660722384";"0.051820786964581"
"20";"6.5 km";"RicDif_S16";"-2.20519613978918e-18";"0.00580875120397977";"-3.79633429346798e-16";"1";"4.59156548608043";"0.165665288944153";"0.0523613529637678";"0.0807427360999157"
"21";"Fluvial";"Rich_S16";"1.92705611371595e-14";"18.3623774205482";"1.04945893964662e-15";"0.999999999999999";"6.35562795836707";"0.0856802029821286";"0.0802970319927291";"0.11077529931788"
"22";"Fluvial";"LCBD_S16";"-1.1197078702319e-19";"0.000218305105872398";"-5.12909611416228e-16";"1";"3.71537053023052";"0.21042278549281";"0.0441877736410176";"0.0763410021392809"
"23";"Fluvial";"Repl_S16";"6.01409004802174e-20";"0.00547439790788248";"1.09858474835418e-17";"1";"0.874705823461272";"0.354151201956565";"-0.00246279098392832";"0.017193360169163"
"24";"Fluvial";"RicDif_S16";"1.20281790884835e-18";"0.00588633319363205";"2.04340778763523e-16";"1";"2.40871507787403";"0.126974096810719";"0.0268788850241025";"0.0459599373995667"
"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
